genes,WTvsMu_lfc,IRvsMock_lfc,Interaction_lfc
St13,0.026051791,2.407500396,-1.32941499
Cacna1i,-0.149628997,-2.835570001,0.100754883
Enpp2,0.26799389,-0.594137069,0.111902952
Tomm22,-0.15941639,1.185941617,-0.731497372
Cby1,0.121728565,-0.353920251,3.062635278
Sh3bp1,-0.046411865,0.319797253,-0.712560194
Parvg,-0.09463692,0.160415828,-0.4604657
Cyp2d26,-0.165658131,2.11729598,0.57354325
Naga,-0.048268815,-0.891785587,0.470897267
Slc38a2,-0.149255581,0.76557296,-0.773893236
Rpap3,0.023771731,1.43957879,-0.914290686
Endou,-0.211037604,-0.893981585,-0.19965551
Rapgef3,0.011830876,-1.048405649,2.583760775
Xrcc6,-0.15894776,1.617397886,-0.460038341
Pmm1,0.166492476,0.721279517,1.094623964
Hdac7,-0.130397089,-1.394047513,0.033651816
Polr3h,-0.20396273,1.413721484,-0.924163377
Col2a1,0.188379837,2.441638828,2.520850347
Nckap1l,-0.038457282,-0.156534622,-0.148386462
Shisa9,0.675584919,1.60574121,3.280824943
Tnfrsf17,1.644179313,0.00543746,-0.109759281
Ciita,-0.116698398,-0.264574582,0.034847327
Emp2,0.245974441,0.35701433,0.836259704
Bcl6,-0.367821309,0.678267144,-0.879492485
Trp63,-0.801254607,0.138174856,5.063748385
Mgrn1,-0.100378449,-1.4440361,0.329790284
Srl,-0.591789474,1.926838063,0.459718741
Cyc1,0.026457996,1.4931478,-0.910342325
Maf1,-0.33357443,-0.064176744,-0.105852324
Hgh1,-0.051277722,1.802177153,-0.827348481
Bop1,-0.147983886,1.927224479,-0.821241835
Grina,0.118229167,-0.596129146,0.357888173
Plec,-0.040362935,-1.46655393,1.177565527
Pycrl,-0.14113928,1.809011057,-1.207586155
Gpihbp1,-0.468201101,-0.306156538,0.304050129
Ly6g,2.867832876,1.772679223,-1.587601538
Ly6c2,0.268352235,0.166896897,-0.203481939
Ly6i,0.095353827,2.288977754,0.594441705
Ly6e,-0.021908901,0.122285476,-0.24268265
Cyp11b2,-0.108323724,2.650457043,1.666800774
Lynx1,-0.358370659,1.364087857,-0.15630653
Slurp1,-0.046539455,1.840069194,-1.578292861
Arc,-0.475413647,1.373107515,1.337343445
Cep97,-0.084061543,-0.547947578,0.204803226
Mapk12,0.420232796,-0.804004681,-0.587194037
Mapk8ip2,-0.600359509,-1.730151801,4.698175246
Arsa,-0.020928175,-0.665511751,0.336851675
Shank3,-0.496402431,-0.682813484,1.009177683
Kif21a,0.174277463,0.875239476,0.700674868
Yaf2,-0.1207269,0.7035291,-1.064565347
Alcam,-0.18857762,-0.894347319,-0.052179366
Retnlg,1.952737975,0.793502704,0.213552765
Gcsam,0.997063481,-0.49615811,-0.38614713
Cd200,-0.30596762,0.131146755,-0.604503827
Ccdc80,-0.864846704,-0.276316624,1.930434344
Mcm4,0.243752187,0.995348668,-1.224996763
Cep20,-0.161533952,0.323599198,-0.322681727
Rrn3,-0.013003597,1.606276843,0.504790514
B3gnt5,-0.361454946,-0.871359724,-0.780059598
Boc,-0.67080506,0.047342328,1.917539212
Sidt1,-0.012477169,-1.137395525,0.631831766
Qtrt2,-0.038533073,2.124734963,-0.840064595
Drd3,0.716891584,-1.185269022,0.039934041
Crybg3,-0.036638601,-0.62793131,0.196101498
Cmss1,-0.22405891,3.656295949,-0.863551067
Klhl22,-0.227493745,0.503945312,2.314685057
Tomm70a,-0.110875719,1.46791115,-0.81685104
Tfg,0.04791677,0.905925985,-0.867346427
Serpind1,-0.056310161,-0.699863423,-0.094312286
Ccdc116,-0.039323614,1.858893645,-0.420401983
Sdf2l1,0.617966419,1.372303195,-1.323588689
Igsf11,-0.100281695,-0.13883948,2.128966178
Tnk2,-0.025487441,-0.036128163,-0.392512199
Yars2,-0.061628933,1.58892147,-0.930082494
B4galt4,0.564854621,-0.040081234,-0.616184276
Tfrc,-0.296636892,1.289162145,-1.374725116
Arhgap31,-0.014678918,-0.817720108,0.611592238
Fyttd1,-0.160180194,0.95574707,-0.806653632
Umps,0.07093226,2.285790872,-1.628381124
Itgb5,0.38613529,-1.424360737,0.029486999
Cyp2ab1,0.039949354,-0.472773891,1.400735651
Ndufb4,-0.102764775,1.278613429,-0.868173876
Hgd,-0.757794173,3.010820764,0.685671745
Mylk,-0.441595931,-0.224546479,0.746466508
Ece2,-0.215435383,2.370898456,-0.989427882
Clcn2,-0.000584469,0.936239533,1.226393672
Ehhadh,0.275736736,-0.859050429,0.465834976
Tmem41a,0.19905143,2.037867689,-0.297082907
Btg3,0.118860219,2.011495543,-0.646490637
Cxadr,-0.416950885,1.597917214,0.645173416
Usp25,-0.129403387,-0.152846512,-0.147090739
Samsn1,-0.235371839,1.255935297,1.064974115
Adipoq,-0.596832894,3.227422483,0.709223254
Rfc4,0.013552737,1.252523764,-1.357680763
Robo1,0.358609196,-0.326408713,0.108228342
St6gal1,-0.103043433,-0.903899629,0.154504992
Mrpl39,-0.018483228,1.581075223,-0.845985727
App,0.732284602,-0.221446361,1.054445859
Adamts5,-0.107174568,-0.627710931,0.543354096
Slc15a2,0.055915766,-2.029193273,2.07089922
Ildr1,-0.026784843,-1.047212736,1.280703517
Cd86,0.227584818,-0.340142029,-0.024547494
Parp9,-0.009797476,-0.398729363,-0.063877465
Psmg1,0.016233344,2.399064398,-1.134355867
Brwd1,-0.228132293,-0.392195552,-0.121012475
Fam3b,-0.370781229,-1.649931288,3.572404552
Pigp,0.003805231,-0.204125256,-0.366211736
Dop1b,-0.052497113,-1.199494117,0.764158787
Cbr3,0.29320886,-0.995923939,0.628288909
Runx1,-0.111232754,-1.564180626,1.083716391
Atp5o,-0.076921383,1.615530269,-0.797281483
Gart,-0.001903506,2.413773045,-0.343536614
Tmem50b,-0.029031665,-0.349991906,-1.100150523
Cfap298,0.028655594,2.126074202,-1.514148551
Mis18a,-0.126688005,0.056119204,-0.172855519
Wnt10b,-0.951714562,3.546170623,0.456866617
Dhh,0.252328192,1.101916626,3.405850761
Tuba1b,0.254065194,1.681828065,-1.520312666
Tmbim6,0.055311448,-0.100293628,-0.256601835
Faim2,-0.34666513,-1.819995315,1.878612079
Racgap1,0.038502553,-0.065625844,-0.304646844
Gpd1,0.609494126,-0.678093768,-0.019182831
Cox14,-0.175553094,0.045180513,-0.222313947
Lima1,0.729330358,0.021923103,-0.037485719
Larp4,-0.058222649,1.408804744,-1.143120184
Cela1,0.25108852,-1.693975827,0.97838894
Nr4a1,0.092750601,1.050097646,0.998351083
Csad,-0.080027087,-0.664022402,0.400463988
Amhr2,0.294102251,2.090215638,0.034944788
Calcoco1,-0.187053688,-1.234953069,1.415220662
Cdkn1a,0.832144373,0.380935999,7.551267459
Cep89,-0.28517033,-1.294052422,0.569399106
Mospd1,-0.153607887,-0.229316927,-0.287599843
Cxcl13,0.320766569,0.142047824,1.314580343
Gtf2ird1,0.101085252,-0.990074075,1.146204083
H2-M10.2,0.063633858,2.017102931,-1.095882013
Ndufa5,0.086516793,1.853652118,-0.928587221
Msrb2,0.007500008,-0.483022271,0.044188656
Rfc2,-0.087018717,0.10699698,-0.318488417
Prmt5,-0.034253249,2.271113377,-1.036005811
Gzma,0.513319687,0.020289181,-0.197683408
Get1,-0.129230904,0.661057884,-0.759550103
Lrrc69,0.682329756,2.414676905,-1.211326485
Rpp14,-0.102497768,1.780079668,-1.055299164
Slc38a1,-0.057564527,-0.00133581,-0.440542655
Vwa5a,0.201741202,-0.317007187,-0.026752366
Epb42,-0.087818102,-0.505499104,-0.102242841
Kcnk5,0.245235548,-0.047059069,-1.156726872
Parp3,-0.086800436,0.75449225,-1.090995463
Acy1,-0.253862105,2.104483042,-0.422480708
Gabrr2,-0.269354348,2.503489207,-0.056329639
Creld2,0.631007986,1.229683609,-1.146800613
Twf2,0.037140778,0.059197638,-0.718314532
Dtwd1,-0.073485033,1.521601308,-0.838843946
Gcm1,0.20519176,-0.10552758,2.209026082
Clec4n,0.718751943,0.383743877,0.25615674
Tmem176a,0.045923772,-0.246866023,0.096279432
Slc17a9,-0.192822535,0.052924968,-0.399659515
Cela3b,0.593784099,0.953428899,0.967231301
Tpi1,-0.025109715,1.848042511,-1.48700285
Cdca3,0.685132853,0.307123082,-0.881954132
Ccndbp1,-0.284729571,-0.523763742,0.396676348
Rsph3b,0.13369106,-0.441461401,-0.045368106
Slc22a3,0.725575162,-0.203263768,-1.014108199
Acat2,-0.239646535,0.949077037,-0.511983647
1700010I14Rik,-0.284726173,-0.728551302,0.43833677
Phf10,-0.166158897,1.114970674,-0.726992028
Smoc2,-0.369648352,0.215955134,0.503993854
Zscan10,0.8018723,-1.752408483,4.127957842
Paqr4,0.288892063,0.448812338,-1.081479774
Pla2g7,0.413711151,-0.807243489,0.889365626
Rhag,0.525789867,-0.118794793,-0.309927635
Mrpl14,-0.081000355,1.478932261,-0.60619991
Sgo1,0.25954603,0.485978591,-1.117632161
Slc29a1,0.212769226,2.287402902,-1.596510436
Hsp90ab1,0.1335926,2.300364625,-1.125388334
Tcte1,-0.436872267,-0.609565717,1.326923713
Vegfa,-0.621320017,1.092222569,0.558278772
Gtpbp2,-0.106888074,-0.578720401,0.103037444
Polh,-0.00904897,1.110849389,-0.971001347
Enpp5,0.200510763,-0.544828254,0.236369506
Cyp39a1,0.411957872,-1.647982572,-0.088197632
Fbxl17,-0.048731249,-0.488665896,0.004960151
Crip3,0.50046624,-1.208207906,0.966982271
Rrp36,-0.090048775,1.236422858,0.91861579
Ptk7,-1.229769107,-1.202933367,2.630845676
Guca1b,0.12670229,2.15831117,-0.195559912
Guca1a,0.816679796,0.005822859,-0.875414985
Gm20517,-0.165222606,1.617029443,0.123438964
Bysl,-0.03085588,2.072534311,-1.074521934
Tfeb,-0.068297153,-0.211522596,-0.580893381
Treml1,-0.232834775,-0.241749959,0.573149275
Tspo2,0.303278349,-0.296811377,-0.635871833
Ppil1,-0.085979438,0.931109011,-0.830471615
Mtch1,-0.123451564,0.144498148,-0.405636713
Fgd2,-0.267378255,-0.153852738,-1.035608494
Abcg1,0.198368,-1.175311522,0.050668256
Wdr4,-0.271718943,2.062385955,-0.548221292
Cbs,-0.133457038,2.85278138,0.004422271
Sik1,-0.098457274,1.275100389,1.341620571
Arhgap28,-0.35917099,-0.632266456,0.803552623
Epb41l3,0.780808977,-0.550389912,0.115990808
Emilin2,0.506614066,-0.364431861,0.176887535
Smchd1,-0.130841458,-0.332549597,-0.331045017
Ndc80,0.000465478,-1.146453845,-0.327718279
Galnt14,-0.187473083,-0.958976011,0.782680255
Ehd3,0.405987652,-0.488284084,-0.064556251
Xdh,0.498364964,-0.21764338,0.682761728
Dpy30,-0.02519893,1.389944962,-0.699882642
Spast,-0.197005176,0.658848754,-0.625368726
Yipf4,-0.23906703,-0.201375776,-0.193162121
Ttc27,-0.152381647,2.368421552,-0.68948364
Cebpz,-0.117499797,1.782546417,-0.751978034
Qpct,-0.218336776,-1.161623524,1.354752763
Man2a1,-7.81E-05,-0.814635582,0.153849239
Vapa,-0.115641682,1.026608114,-0.81026959
Srsf7,-0.033833322,1.439867105,-1.014244912
Twsg1,-0.050613393,-0.692706942,0.595543338
Ndufv2,-0.064100008,1.335540523,-0.780359462
Cacna1h,0.219525009,-1.392609778,0.914751523
Lrpprc,-0.102907903,1.799117897,-0.706519187
Prss30,-0.07488681,-0.838156056,0.692163838
Abca3,0.098977704,-0.925571731,0.564527509
Eci1,-0.146980364,1.476498247,0.068193978
Pigf,-0.06445688,1.225516518,1.528203249
Cript,-0.207385339,0.265191885,-0.396904135
C3,0.29166336,0.513848847,-0.389167309
Nme4,0.37774507,1.133315221,1.579966718
Pgap6,0.148207877,-0.442152387,0.113597139
Mrpl28,-0.164467488,1.093949521,-0.620620413
Pdia2,-0.000100092,-0.222168449,0.092223321
Fam234a,0.078984658,-1.018330579,1.042809606
Phf1,-0.050443107,-0.962207305,0.156019438
Cuta,0.13147431,0.770676518,-1.078585033
Plin3,-0.117721984,-0.25444614,-0.153923443
Rfx2,-0.20720998,-1.362059267,0.885692612
Uqcc2,-0.050035389,2.053969784,-1.094075658
Ip6k3,-0.667080196,-0.381064766,1.272320908
Grm8,-1.280517714,0.169481133,-0.327719847
Clps,-0.045689534,0.224373909,5.333490168
Svil,-0.110896622,-1.112169947,1.29316838
Tmem178,0.30786628,-1.438381518,0.755644714
Thumpd2,0.065441168,0.613887767,2.111493262
Pkdcc,0.082504731,-0.211760173,-0.045409041
Cox7a2l,-0.116591447,-0.677707442,0.408481175
Polr2d,-0.000892166,1.683775976,-0.848366895
Thoc1,-0.088235113,1.664012813,-0.6011218
Esco1,-0.141500698,0.462895722,-0.661141202
Adamts10,-0.246111256,-0.244672477,0.019934108
Myo1f,0.167466565,-0.757680029,0.194901055
Kifc5b,0.132799125,0.22902785,1.980989724
Pfdn6,-0.100264531,1.871636659,-0.764851432
Wdr46,-0.025805477,2.303230363,-0.339724291
Rnf138,-0.136550496,0.803518322,-0.755971956
H2-Oa,-0.050352701,-1.256842889,0.058388466
Psmb8,0.005574548,0.340207226,-0.843707697
Btnl2,-0.212967563,-1.133254891,0.389382615
Hspa9,0.008836532,2.484840282,-1.017313379
Etf1,-0.013923434,1.90645611,-1.160079347
Nelfe,-0.029555239,1.53965833,-0.62630789
C2,0.230965434,0.122286032,-0.26153797
Epb41l4a,-0.089039952,2.18356523,-0.732876176
Stard4,0.050802627,0.968635857,-1.148805477
Bin1,0.042904207,-0.26740145,-0.44389488
Csnk2b,-0.06998138,1.289846245,-0.78338771
Myo7b,-0.751070675,0.195507861,5.441639859
Aif1,0.327845785,-0.261458326,-0.278279625
Ltb,-0.278080401,0.21775841,-1.508721333
Tnf,-0.191993556,2.288472246,-2.03527469
Lta,-0.024167109,1.229397285,-1.350366241
Zfp521,-0.480825034,-0.213987137,-0.042654247
Lama3,-0.191668735,0.479315308,0.688841802
Ttc39c,0.452512761,-0.098354436,0.731908522
Ndfip1,0.098482541,-0.579531611,0.326393365
Mrps18b,0.012640241,2.133905534,-0.677118809
Pcdh12,-0.644361374,-1.086455582,0.687591953
Arap3,0.307914062,-0.29958568,0.27805592
H2-M5,-0.013862883,0.493950711,1.013488148
Gabbr1,0.2030602,-0.689028618,0.352659778
Ap3s1,-0.0014117,0.215161727,-0.291439657
Slc4a9,-0.753837325,4.001326478,1.635459013
Lars,-0.110647181,1.891127073,-0.744435957
Dpysl3,-0.21509262,-0.038244192,0.804980394
Mbd2,-0.054027084,-0.421168355,0.105803846
Sec11c,0.062720054,-0.167202998,-0.410291323
Pmaip1,0.323288538,0.443811591,3.148450129
Srfbp1,-0.082505108,2.117033662,-0.850308836
Lox,-0.29434559,2.597950733,1.254610153
Spire1,0.409510183,1.549353577,-1.66193546
Snx24,0.061159619,-0.796365104,0.305358807
Psmg2,-0.108567273,1.845973217,-1.04274971
Ppic,0.423723543,0.196802246,-0.275261331
Ldlrad4,0.016342739,-1.36234318,0.818497077
Me2,0.002921054,0.479367426,-0.687027519
Grpel2,-0.132805322,1.126789869,-0.842369991
Nars,0.130474884,1.973385854,-1.226937483
Fech,-0.869115966,-1.111621674,0.245673322
Nedd4l,-0.112888321,-0.980499136,0.445006678
Tmx3,-0.079528504,0.157776152,-0.72632035
Pdgfrb,-0.971757936,0.180438831,0.940802824
Csf1r,0.220800833,-0.691039666,0.102700442
Psat1,0.339295777,2.491990401,-1.717243294
Cbln2,0.190414647,2.157862892,0.547511859
Anxa1,-0.137666125,-1.525828492,0.439995394
Rab3il1,0.606509902,-0.401271874,-0.436058234
Fads3,0.729990992,0.704304815,-1.765358485
Fads2,0.022479723,0.462085316,-0.883835935
Tmem138,-0.051950926,0.963914829,-1.020822959
Tmem216,-0.148142633,0.414654939,-0.438380154
Ms4a7,0.608587926,-0.184527964,0.056381498
Ms4a1,-0.183217253,0.537335155,-0.675109378
Ms4a4c,-0.274307851,0.337056521,-0.944562851
Fam111a,0.060571558,0.709527432,-0.96200645
Lpxn,-0.014649268,0.465319826,-0.803826032
Rfk,-0.036817852,-0.278938741,-0.294147299
Pcsk5,-0.830016847,0.009761629,1.696503182
Carnmt1,0.051212691,1.542177008,-1.598493623
Trpm6,0.930222112,2.490677274,-0.409453112
Ms4a8a,0.080689662,-0.815133414,0.752940224
Ccdc86,-0.097924011,2.066658154,-0.149441628
Prpf19,-0.071956978,2.020115316,-0.735135918
Tmem132a,0.207918351,0.45153297,-0.988509864
Fen1,0.075339408,1.696764985,-1.168829091
Syt7,-0.038955432,-0.801131808,1.334509346
Tmc1,0.306039112,-1.207631771,1.798015078
Zfand5,-0.178956724,0.184483519,-0.619629457
Slc22a19,0.258369653,-0.815195423,0.593359487
Rtn3,0.064124221,-0.41190061,-0.15450321
Atl3,-0.003545084,0.45490587,-0.675170551
Cdc42bpg,0.072467214,-0.674857466,4.779480032
Ankrd22,1.48613022,1.526496284,-1.455539825
Stambpl1,-0.236545002,-0.164483705,-0.601581755
Ppp2r5b,-0.125409066,-0.520646734,0.019498287
Fas,0.468691742,2.184190957,1.669232608
Lipa,0.453223867,-0.654097236,0.108709284
Rcl1,0.102313723,2.400271001,-0.84845716
Jak2,-0.118666555,-0.819502332,0.063816345
Sac3d1,-0.16143371,1.492428246,1.242946842
Cdca5,0.440651912,1.028486738,-1.297571197
Tnfrsf25,-0.118009803,-0.006081019,0.616408363
Htr7,0.470612756,-0.450072904,-0.388991863
Rad9a,-0.170885819,0.712804997,-0.517416654
Mrpl21,0.047065663,1.961047877,-0.890744692
Coro1b,0.042494669,-0.596112586,-0.106853665
Eif1ad,-0.143999763,1.483014821,-0.992653944
Banf1,0.29733553,1.754348698,-0.416113231
Pitpnm1,-0.170531772,-0.88181275,0.75182721
Pold4,-0.073325068,-0.767722173,0.618675422
Pacs1,0.009071501,-1.020118662,0.320289691
Cdk2ap2,-0.049860501,0.178266876,-0.266896177
Pip5k1b,-0.31635284,-1.73893196,0.931832977
Aldh3b1,0.102791032,-0.198944344,-0.498275925
Asah2,0.182576022,-0.692317213,0.19981301
Rce1,-0.163797176,1.439543634,-0.894251369
Slc29a2,-0.118974243,2.674578404,-0.990653657
Minpp1,0.176746669,1.55359441,-1.38601735
Cpt1a,0.121230825,-2.519437266,1.011828169
Peli3,-0.15321807,-1.298816183,4.4145802
Mrpl11,-0.072023546,1.534464841,-0.508191195
Fosl1,-0.10488964,1.519179099,1.777730979
Slc1a1,0.12491915,-0.026934734,0.203059014
Kcnk7,-0.35658488,-0.721038634,0.125981422
Ehbp1l1,-0.002734351,-0.30508524,-0.088836023
Fam89b,-0.07048144,-0.981723719,0.066945674
Capn1,0.094710115,-1.103918092,0.35985565
Map4k2,-0.265524556,-0.999667952,0.26400937
Prdx5,-0.165529298,0.360193862,-0.385556767
Gpr137,0.07007141,0.058642919,-0.419479518
Stip1,0.082656997,2.538121923,-1.708971957
Rcor2,-0.245855042,1.450354379,-0.653170146
Tcf7l2,0.767027237,-0.587008353,0.185933453
Hhex,-0.126595994,-1.057878677,0.893878317
Cep55,0.420048351,0.356375918,-1.164221393
Prdx3,-0.029478954,1.500929902,-0.868615107
Plce1,-0.452551332,-0.585078882,0.285851589
Noc3l,0.045315911,2.213858755,-0.968110844
Hells,0.088539901,1.375595202,-1.350473456
Sorbs1,-0.247134587,-1.278387131,1.00538663
Aldh18a1,0.134891695,2.244001476,-1.370359456
Tctn3,0.201638043,0.347264081,-0.733784862
Ccnj,-0.064415102,-0.230299134,-0.541490464
Dntt,-1.040725324,-0.400836807,0.055926479
Add3,-0.137983142,-2.109841169,0.419928999
Arl3,0.065825688,1.019867108,-1.015479558
Fundc1,0.136401123,-0.020184391,-0.399763866
Msr1,-0.572630352,0.542281547,-0.045539562
Pcgf6,-0.046252217,1.845059521,-0.80523805
Gsto1,0.360838394,1.923043476,-1.066717579
Casp7,0.0903257,-0.358000383,2.054070291
Afap1l2,-0.758133058,0.303910338,0.397879155
Ablim1,-0.010840055,-0.697476793,0.227433435
Trub1,-0.063390174,1.794798152,-0.28559117
Gfra1,-1.127636976,-0.6322419,-0.278459682
Hspa12a,0.798861537,-2.068853844,-0.226902569
Slc18a2,-0.482222131,0.09843712,-0.104594788
Btbd1,-0.043699346,0.675281095,-0.975913794
Hdgfl3,0.021900027,-1.120726123,-0.193925353
Ppp1r27,0.20810748,2.118799517,0.049803395
Ints4,-0.118840606,-0.6779458,0.22094786
Alyref,-0.042883973,2.130649589,-0.830251643
Pcyt2,-0.170469757,1.304198354,-0.740607458
Myadml2,-0.457997228,-1.998861483,-0.362006011
Cbr2,1.505134653,-0.504459208,0.162537955
Maged1,0.354918459,-0.549680471,-0.067550039
Fasn,0.007979442,2.021991531,-0.90032065
Arhgap19,0.632087536,-0.407288757,-0.415895351
Gps1,-0.165818366,1.616443877,-0.83654023
Zdhhc16,-0.130934742,0.918102272,-0.761265858
Cd7,-0.382966362,-0.213121236,-0.026211825
Ogfod3,-0.103202999,0.231927449,-0.640090429
Ankrd2,-0.742329736,-0.215261011,0.234084893
Fn3k,0.735197596,-0.680708162,0.7362191
Entpd7,-0.193934718,-0.573041084,0.20865825
Dnmbp,0.080706691,-0.993017386,0.686549091
Bloc1s2-ps,4.140271786,0.224265143,3.454202488
Scd2,0.236913132,0.604704822,1.349845755
Sfxn3,-0.068682547,-1.544030687,1.567570002
Kazald1,-0.242526566,0.453195988,2.160059347
Tlx1,-1.286025476,-0.052171374,0.639596394
Actr1a,-0.091499923,0.286807581,-0.39332102
Hexa,0.333698005,0.264860034,-0.652625762
Limd1,-0.211872679,0.189742049,-0.631538808
Sacm1l,0.053327085,0.505182338,-0.830277198
Lztfl1,-0.313116898,-0.431725826,-0.128542495
Tbl1x,-0.214671909,0.614129524,-0.471338971
Zfhx4,-1.257976252,-1.919291507,5.455281387
Hsd17b10,-0.226832764,0.840717545,-0.484616111
Tsr2,0.010959379,1.768063567,-0.787566847
Fgd1,-0.512046242,1.358262797,0.329323887
Maged2,0.281883026,-0.879837505,0.888158387
Alas2,-1.875428559,-1.535910291,-0.815057585
Tro,0.189886527,-0.731027753,0.449977325
Dnase1l3,0.353076444,-0.377752841,0.113801069
Prdx4,0.185795671,0.367516649,-0.566741438
Sp4,-0.094414955,0.156599599,-0.379005777
Padi4,0.258586522,-0.631907677,1.612127625
Itga7,-1.59496712,0.122230428,2.362764355
Rdh5,0.002767137,-0.388608295,0.144765642
Cd63,-0.1428133,-0.47474128,0.078020439
Gdf11,0.123167893,-0.920330944,-0.952851456
Ormdl2,0.005019799,1.204392713,-1.087643453
Dgka,-0.12597989,-2.079922118,1.388090894
Cdk2,-0.260727201,0.020148189,-0.611149378
Pmel,-0.169494431,-1.801851417,1.140170964
Pa2g4,0.042373826,2.973153694,-0.627608862
Esyt1,-0.133361939,-1.522036978,-0.416699708
Aatk,0.76772733,-0.932690117,0.520917252
Atp5b,-0.069458666,1.740429429,-0.998078169
Prim1,-0.151509579,1.339541016,-0.472167394
Myo1a,0.810170499,2.606920211,-1.634957151
Shmt2,-0.022150247,3.085175812,-0.764447914
Gli1,0.202843677,-0.734462728,0.636996997
Pias2,-0.179373261,0.231527482,-0.50404983
Atp5a1,-0.068902944,1.417730601,-0.715095303
Crisp3,0.630526613,-2.544377,-1.445184261
Clns1a,-0.097229779,1.733108046,-0.78745251
Scart1,0.126926912,0.594371382,0.680417609
Adam8,0.05329213,0.510358853,2.051246815
Adgra1,-0.385416704,-0.041459413,2.398728622
Inpp5a,-0.325857183,-1.27797102,0.883601895
Dpysl4,-0.369569969,-0.700935054,1.701122659
Syce1,-4.82822638,1.910197284,2.35273735
Urah,-1.504981345,4.647862691,2.356071647
Odf3,0.423736344,2.403366567,-0.355355687
Ifitm5,0.04310951,-0.483403607,-0.087588568
Ifitm1,1.864563362,0.639500353,-0.191105935
Ifitm3,0.197792606,-0.690693865,0.869303947
Sigirr,-0.30285408,-1.058719774,0.643533452
Irf7,-0.332951563,-0.962742523,0.695095989
Lmntd2,-0.081097987,-1.27176739,0.621601775
Taldo1,0.002359579,0.550294528,-0.547332261
Eps8l2,0.215090755,0.060426349,1.282070871
Pidd1,0.029104368,1.041113893,3.189338937
Muc2,-1.678120146,0.400104357,3.225321931
Tmem192,0.035417632,-0.01759731,-0.381312234
Tmc6,-0.144236433,-0.965056097,0.951927028
Rbfox3,0.341228565,0.982197267,1.118544374
Cbx2,-0.259105439,0.646709609,-0.711329892
Cbx8,-0.175370142,0.280199707,-0.92719455
Eif4a3,-0.208835678,1.641277264,-0.666653367
Nptx1,-0.580236416,-0.871150867,2.559827998
Tma16,-0.153325283,1.825247646,-0.439038969
Dach2,-0.200110309,0.69899935,1.447540234
Copg2,-0.146338776,0.425390312,-0.424352334
Podxl,-0.25638938,0.182298322,-0.059270414
Bach1,-0.121158635,-0.285817218,-0.017745361
Cct8,0.068874792,2.408366197,-1.330473055
Shisa5,-0.096668489,-1.198023999,0.471378165
Pfkfb4,-0.115260026,-1.01700243,0.105873871
Col7a1,-0.494677549,0.831728168,1.012859097
Arhgef9,-0.102988344,-0.417163235,2.662694384
Cnksr2,0.641542456,-0.278535633,1.145745985
Alox5,0.849144701,-0.257336815,1.392353113
Marchf8,0.291236913,-0.412859098,0.20397914
Slc28a1,-1.064587753,4.869797363,1.566752082
Rab40c,-0.146517228,0.13529743,1.861830873
Mcrip2,-0.178042901,1.495344356,-1.479154731
Jmjd8,-0.060129483,1.02559775,-0.722640407
Sdc3,0.606440752,-1.006191381,-0.092154549
Agbl1,-0.495471174,-1.681430661,1.436092597
Hspa4l,0.012700459,0.416642467,-1.505773714
Mfsd8,-0.159846747,-0.441940624,0.065997745
D3Ertd751e,0.139709802,-0.404139895,-0.034686603
Crispld1,-0.543361872,-0.842554802,0.434605955
Itih5,-0.286913981,-1.786351317,-0.084827308
Atp5c1,-0.118619781,1.012873633,-0.752412964
Exosc7,-0.125581348,1.634194428,-0.951256295
Rassf3,-0.032828774,-1.670200344,0.318106822
Ccr1,0.159591959,0.35703075,-1.003825343
Nudt5,-0.055214259,1.621642666,0.287175982
Pramel6,-0.313167338,-1.823485944,1.199785479
Prkar1b,0.237357627,-0.625426219,0.467753596
Dnaaf5,-0.227455618,0.569077086,-0.597652867
Cplx2,-0.562131582,-2.440180027,1.291636378
Higd2a,-0.068827346,-0.28707814,0.074934523
Nop16,-0.151177247,2.336859443,-1.0736767
Thoc3,-0.178758605,1.240609612,-0.679166702
Tspan17,0.443323631,-2.202903527,0.30221805
Unc5a,0.550424275,-1.269778214,0.706844846
Hk3,1.213840089,-0.374614821,-0.593932216
Casp12,0.269633719,-1.036183017,0.296369091
Snca,-9.873440863,-1.357736156,-0.424526618
Kbtbd3,-0.055389423,0.086509118,-0.275283506
Aasdhppt,-0.04410318,1.59129524,-1.020397588
Adhfe1,0.539106514,1.934625099,-1.166062047
Mybl1,1.025701148,-0.019379375,3.086299151
Sgk3,-0.020354359,-0.325947468,-0.355923319
Rdh10,-0.169101681,0.303531741,-0.602507717
Tfap2b,-0.137613509,-0.944273382,1.21523036
Paqr8,0.337606817,-0.6127008,-0.344566632
Tmem14a,0.338784958,-0.4740435,0.280879101
Tram1,-0.032835907,0.122254397,-0.270508775
Slco5a1,-0.601435693,-0.658052189,0.538771392
Idh1,0.20287511,-0.373704042,0.0123204
Fastkd2,-0.097861967,1.884229,-0.978798467
Adam23,0.337008669,-0.314701622,-0.017426733
Nrp2,0.675359938,-0.013413292,-0.314896191
Rftn2,-0.112377363,-1.030495647,0.422690033
Hspd1,0.195676169,3.23277315,-1.878767374
Slc40a1,0.75330684,-0.554292959,-0.025312671
Wdr75,0.02658924,2.323786266,-1.156397846
Ctla4,0.13583055,0.252725257,1.402799812
Wdr12,0.031686521,1.855561808,-0.646884311
Nop58,-0.016594988,2.524801288,-1.221151026
Cdk15,-0.159512701,-0.39034844,2.0231274
