genes,Raditation_LFC,Radiation_FDR
Col5a2,1.135916518,0.465564841
Col3a1,0.650084107,0.638820249
Ercc5,2.503448927,6.71E-25
Tex30,-0.896549829,0.052112298
Ecrg4,-0.950551616,0.545614624
Il1r1,0.349474258,0.75745229
Il1r2,0.417985847,0.845375563
Chst10,-1.10477969,0.00097679
Mrpl30,-0.748030879,0.092041509
Asnsd1,-0.782791407,0.044662316
Ormdl1,-0.734756368,0.071755941
Unc50,-0.295320309,0.585236601
Inpp4a,0.243761778,0.516546409
Ptpn18,0.194570523,0.457787284
Imp4,-0.853290775,0.000650679
Fam135a,0.156234838,0.904526139
Sdhaf4,-0.105234587,0.905442521
B3gat2,-0.037189946,0.954845224
Sphkap,0.688704311,NA
Wnt10a,0.341434032,0.737711197
Cyp27a1,0.230749497,0.617714077
Vil1,0.513216893,0.702625073
Ctdsp1,-0.157453398,0.5766916
Slc11a1,0.203075083,0.737099279
Ppm1f,-0.712633427,0.084431257
Igfbp5,2.499698612,NA
Xrcc5,-0.683622401,0.019199963
Atic,-1.34223857,1.17E-05
Zfand2b,-0.307656599,0.533475284
Abcb6,-0.949428524,0.000784371
Tuba4a,-1.80621448,9.54E-07
Ptprn,-0.091815997,0.971553328
Slc23a3,-0.593896904,0.697090936
Speg,1.347207449,0.27001479
Des,0.818351851,0.578885926
Dnpep,-0.739990753,0.026765922
Obsl1,0.385749664,0.875936992
Stk11ip,0.234532301,0.541782009
4933407L21Rik,0.286548667,0.788622268
2810459M11Rik,0.021510917,0.991901442
Ncl,-0.722980982,0.010910132
Ptma,-0.205872105,0.706088486
Farsb,-1.003128326,0.004074212
Serpine2,2.573318378,1.48E-13
Efhd1,0.129055476,0.953358823
Ngef,4.084395656,NA
Bok,-0.484005433,0.747893503
Ing5,-0.791082935,0.00232591
Pdcd1,0.765885336,0.580053064
Iqca,4.293582132,0.07197083
Mlph,1.272424501,0.239824329
Scly,-0.171474903,0.445701051
Asb1,-0.158161684,0.717702365
Hdac4,2.382719518,6.33E-15
Serpinb8,1.521758142,0.047520367
Actr3,-0.656905843,0.024083521
Slc35f5,-0.468847486,0.336803322
Lct,-0.570085465,0.603957997
Mcm6,-1.739345847,1.04E-06
Dars,-1.050262362,0.003279538
Rgs18,1.994520112,9.54E-07
Rgs1,-1.267391543,0.121346853
Rgs2,-0.49571309,0.207995336
Nifk,-1.264569869,1.60E-05
Marco,0.638328589,0.39783839
Nek7,-0.369097224,0.061302467
Ptprc,-0.819375794,1.26E-05
Cd55,2.041750273,7.37E-15
Cd55b,1.395078879,0.000103673
Cacna1s,-0.003256365,0.997836619
Tmem9,0.618442077,0.258571948
Pkp1,2.184519683,0.412705456
Tnnt2,0.958785007,0.459698724
Fcamr,0.422923233,0.513736702
Pigr,-0.324990425,0.509261327
Il24,-0.470637538,0.499474362
Rassf5,0.083474299,0.804512899
Avpr1b,4.488625521,0.006542867
Rab29,0.070452977,0.89314217
Slc45a3,-0.17946016,0.769290039
Elk4,-0.155237464,0.644185921
Cdk18,1.307400433,0.186885501
Lrrn2,1.02814052,0.651512064
Pik3c2b,0.701462965,0.060440713
Cyb5r1,0.005637663,0.988977676
Adipor1,-0.115558455,0.789828246
Mr1,0.211908891,0.550608022
Lamc1,2.14829403,6.19E-10
Rgl1,1.285583322,0.001830429
Niban1,0.234742585,0.707008374
Parp1,-0.558025237,0.180830346
Capn2,0.459142984,0.128853911
Tmem63a,0.177739184,0.630923844
Opn3,-0.729538229,0.122629736
Fh1,-0.841451785,0.012843962
Spta1,-1.442044727,0.588951855
Slamf9,-0.239849671,0.75120402
Vangl2,0.678416728,0.344861696
Uck2,-1.005514458,0.001694625
Mpzl1,1.238769993,0.01525905
Dcaf6,0.334305231,0.183621814
Xcl1,-0.924659594,0.390857504
Atp1b1,0.651339057,0.289209684
Ccdc181,-0.689263596,0.058135043
F5,0.606491548,0.605674842
Selp,1.432313599,0.196867735
Sell,-0.16612175,0.468635428
Sele,1.095806346,0.168299124
Kifap3,0.382552367,0.419076512
Prrx1,1.322405681,0.220019713
Astn1,0.348309657,0.83315364
Sec16b,1.004914031,0.116338626
Ralgps2,-0.384463404,0.206892995
Soat1,-0.562479593,0.024957619
Smyd2,-0.859721287,0.025924681
Ptpn14,2.164782071,2.02E-14
Cenpf,-0.431625369,0.491716436
Eprs,-1.00761473,0.000267598
Cr2,-1.849450795,7.64E-10
Nek2,-0.654376784,0.26255011
Lpgat1,-0.473722678,0.168580004
Batf3,-0.024364258,0.982705477
Traf5,0.380570734,0.42564497
Nmt2,-1.033727509,0.001174242
Cfap126,3.967453209,3.62E-14
Fcgr2b,0.020107101,0.956273488
Phyh,0.392273454,0.227123931
Mcm10,-1.488660929,0.000831203
Hsd17b7,-1.394509199,0.000414194
Lmx1a,1.135722538,0.517844014
Mgst3,-0.512975704,0.61169397
Tnfsf4,5.359346435,2.73E-10
Mrc1,0.206699507,0.777560804
Rabgap1l,0.498106251,0.028993326
Tnn,1.139853121,0.384134339
Vim,1.103110619,0.001572441
4930426L09Rik,1.432338405,0.143494026
Pip4k2a,-0.243362934,0.35810949
Bmi1,-0.893203792,0.005315477
Psmb7,-0.789541155,0.041206725
Nr5a1,0.962348559,0.505431048
Arpc5l,-1.076729827,0.000510576
Il2ra,1.972406837,1.14E-05
Yme1l1,-0.777722411,0.063003106
Slc2a8,1.994531485,5.28E-05
Coq4,-0.848062968,0.019102294
Barhl1,-0.104434866,0.926158922
Ddx31,-0.938400327,0.002159514
Spaca9,0.109247709,0.92964661
St6galnac6,-0.376603909,0.390271147
Eng,2.69382735,2.92E-07
Gfi1b,-1.851982998,0.391177808
Ak1,2.988243731,0.006904922
Slc25a25,-0.647863644,0.027593655
Lcn2,-1.743898949,0.372069847
Kcnj3,0.22217742,0.922429184
Dnm1,2.791335435,4.54E-06
Gpd2,-0.234077171,0.516212173
Gbgt1,0.165951809,0.868596523
Ermn,-0.2255939,0.808508153
1700007K13Rik,10.94541775,5.67E-05
Olfm1,0.231706841,0.86493433
Acvr1,-0.357139967,0.845375563
Col5a1,0.752214784,0.605902465
Lamc3,4.467356149,NA
Crat,0.045972819,0.90728783
Dolpp1,-0.53131125,0.196390483
Ntmt1,-0.721104339,0.107622982
Hspa5,-1.351658391,8.47E-05
Psmd5,-1.042925099,0.000690689
Zeb2,0.28844327,0.494899964
Phf19,-1.839895335,4.46E-08
Hc,1.25637618,0.658304187
Gsn,-0.560146729,0.00749396
Stom,-0.612412585,0.176657758
Dab2ip,2.089348202,1.53E-05
Mrrf,-0.670093957,0.057022615
Slc4a10,0.412410708,0.592303934
Strbp,0.093546266,0.81885237
Egfl7,-0.027008181,0.976560359
Agpat2,-0.476591873,0.253002508
Notch1,2.898320745,2.27E-21
Fcna,-0.161114562,0.826668052
Tmem141,0.020130042,0.985927477
Ccdc183,0.51369557,0.832072855
Abca2,0.153014392,0.720354371
Uap1l1,-0.10960503,0.780176718
Dpp7,-0.593702868,0.217408431
Arl6ip6,-0.623932794,0.130611856
Itgb6,1.687072517,0.107752014
Arrdc1,0.613510844,0.130770307
Zmynd19,-1.422755291,5.01E-06
Il1rn,0.571556551,0.610257581
Hnmt,1.982405248,NA
Baz2b,1.02467296,8.18E-07
Galnt3,-0.106851224,0.884122491
Nckap1,0.418570472,0.776012216
Slc25a12,-0.253434127,0.300298306
Ube2e3,-1.181505661,0.005605812
Zfp385b,1.988810442,0.20724676
Hat1,-0.970806664,0.006249539
Xirp2,5.183277345,NA
Ssrp1,-0.884232105,0.002939029
Prg3,-1.416610573,0.293641418
Prg2,0.70459945,0.628660033
Slc43a3,0.043590643,0.935574717
Timm10,-0.984638296,0.006295139
Ube2l6,0.205977359,0.822413863
Tfpi,-0.400428628,0.552434536
Mtx2,-0.666512428,0.094020957
Ola1,-0.775990118,0.037092035
Itga6,1.093123616,9.77E-06
Slc12a6,0.199954711,0.61169397
Katnbl1,-0.618042508,0.100415751
Nop10,-0.95720987,0.100175585
Eif3m,-0.751805238,0.067860739
Prrg4,5.053978799,3.33E-52
Fbxo3,-0.235035339,0.489499433
Nat10,-0.426134118,0.236613681
Cat,0.132345711,0.762004667
Api5,-0.968205269,0.007518858
Hsd17b12,-0.803243825,0.028006315
Gatm,0.458319728,0.644958115
Dut,-1.016063566,0.056016683
Fbn1,0.838817444,0.536216553
Fgf7,1.009428342,0.472766322
Meis2,1.001092381,0.380695457
Slc28a2,-0.125976429,0.807106949
Chst1,0.434241837,0.748324549
Sord,1.323989898,0.01797105
Creb3l1,3.301721538,0.000981966
Lrp4,0.238272703,0.656126831
Pacsin3,1.263365705,0.4685353
Snap25,2.273146958,0.107518685
Mkks,-0.932388532,0.022451727
Ehd4,3.127953949,2.88E-12
Ltk,0.070235312,0.915090867
Ndufaf1,-0.657320428,0.123084084
Nusap1,-0.963359369,0.059875584
4930402H24Rik,0.267351663,0.349729844
Chac1,-2.609128452,0.048878054
Gfra4,-2.488809939,0.151285855
Siglec1,0.08164118,0.912040586
Rpusd2,0.849694488,0.014765717
Cdc25b,0.073438968,0.905442521
Knstrn,-0.176472852,0.746459129
Smox,1.581995473,0.017300812
Rassf2,-0.430474081,0.114451246
Tmem230,-0.413093379,0.472214048
Pcna,-1.205766582,0.006008685
Fsip1,1.881220872,0.014896361
Gpcpd1,-0.400827017,0.145805363
Rasgrp1,-0.31219735,0.267987724
Chgb,-2.989967581,NA
Spred1,-0.823445529,0.069116572
Crls1,-1.061152427,0.002151716
Gabpb1,1.0160347,2.80E-07
Usp50,-0.988158868,0.062921084
Stard7,-0.688225959,0.054912983
Dusp2,-0.525301885,0.359317414
Mrps5,-0.647498283,0.01016946
Prom2,2.387573297,0.283070821
Bub1,-1.643018921,0.01089661
Bcl2l11,2.460897007,1.72E-14
Ndufaf5,-0.614997321,0.297679014
Zc3h8,-0.71302657,0.060155148
Polr1b,-0.980935464,0.000248491
Il1b,0.674163046,0.421566023
Snrpb,-0.671041011,0.279255607
Nop56,-1.028494981,1.97E-06
Cpxm1,-0.561247331,0.742498727
1700020A23Rik,0.370348835,NA
Bfsp1,1.032244818,0.573790633
Cd93,1.921999668,1.05E-05
Cst3,-0.172308752,0.706537554
Acss1,0.112203192,0.737099279
Gins1,-1.522931013,0.002198341
Fam110a,2.644290817,1.87E-07
Slc52a3,0.797124891,0.369982453
Tpx2,-0.959611501,0.083806757
Pdrg1,1.21399213,0.004684135
Ccm2l,1.909559708,0.197594349
Snta1,0.028043523,0.981953444
Fam210b,-0.016898673,0.981216912
Aurka,-0.74665157,0.21492173
Tpd52,0.608072593,0.004339051
Rae1,-0.801758132,0.012447599
Zbp1,0.016555935,0.975358682
Fabp12,1.617262254,0.44181313
Fabp5,-0.992767191,0.050538822
Nfatc2,1.477985076,1.60E-06
Car1,-2.707751337,0.03236769
Dok5,2.792092637,0.080579411
Car2,2.159063401,0.121466502
Psma7,-1.101516077,0.000773707
Col9a3,-0.118278465,0.922962434
Chrna4,-0.867595938,0.815057788
Srms,0.602400105,0.541481184
Oprl1,-0.249718097,0.858662349
Pcmtd2,0.799219332,0.008129649
Ahcy,0.511628079,0.222362486
Map1lc3a,0.267742257,0.727691212
Gss,1.810271151,2.69E-06
Procr,0.351634234,0.812354504
Eif6,-0.688417991,0.115700705
Hps3,-0.216071236,0.5766916
Epb41l1,0.880484966,0.11926712
Tbl1xr1,-0.799895851,8.72E-09
Rab5if,-0.934535421,0.008348486
Samhd1,0.303816996,0.234201357
Fam83d,0.538382164,0.642417692
Ccn5,1.796172829,0.352223991
Zmat3,3.535139535,3.21E-40
Actl6a,-0.72308979,0.077833397
Ncoa3,0.081718346,0.839981431
Mecom,1.490002148,0.341792231
Tnik,0.809296115,0.114785963
Ect2,-0.482303111,0.399481012
Anxa5,0.555412089,0.322177568
1810062G17Rik,2.219819103,0.140082801
Ccna2,-1.527715766,0.006697882
Spata5,-0.538879533,0.138049608
Rab33b,-0.265211187,0.480634767
Postn,0.849980618,0.579418176
Exosc8,-0.724401393,0.039925967
Sucnr1,2.75076944,0.098020037
Ppm1l,0.353332221,0.409072318
Sis,1.44757086,0.239824329
Dclk1,0.297615897,0.789828246
Tm4sf1,0.047288516,0.971553328
Wwtr1,0.770507574,0.666248144
Ppid,-0.985496117,0.005010704
Serpini1,-0.084427096,0.835769476
Syt6,1.110791324,NA
Nras,-0.403610329,0.236420343
Sike1,0.274619743,0.438191993
Sycp1,1.767792568,0.018792024
Tspan2,0.196935606,0.653079716
Cd2,-0.842765868,0.000360485
Spag17,2.938646189,NA
Hsd3b6,-1.175154982,0.401251009
Hmgcs2,1.049557907,0.568310393
Notch2,-0.241095838,0.426610438
Dram2,-0.204345791,0.443245001
Dennd2d,-0.250125673,0.366122692
Ddx20,-0.784328026,0.002274193
S100a11,1.752255934,3.69E-06
Slc27a3,0.865013006,0.293554434
Jtb,-0.6958535,0.101421221
Hax1,-0.715911215,0.077341542
Efna1,3.263966693,0.014675513
Gask1b,2.286271832,3.36E-08
Prss12,-0.000239018,0.999635691
Hadh,0.081951689,0.849883647
Tlr2,0.120339766,0.804756357
Sfrp2,3.600222883,0.177969389
Casp6,0.427102816,0.135999152
Pla2g12a,0.270710223,0.541481184
Gucy1b1,0.876094829,0.605674842
Asic5,-0.327919566,0.900517657
Gar1,-0.593313321,0.164948395
Tdo2,-0.392319476,0.296943299
Ctso,-0.299565108,0.270531071
Pdgfc,0.725904137,0.378839606
Aimp1,-0.627711596,0.074214966
Dkk2,1.63546534,0.077833397
Ptgfr,1.981585553,0.439324286
Zbtb7b,2.069440962,2.96E-14
Cks1b,-1.599271286,0.001250609
Hcn3,0.635272682,0.278921867
Rit1,-0.263126321,0.420709977
Arhgef2,-0.058771398,0.902975168
Gpatch4,-0.676732678,0.000898096
Pear1,2.082237577,1.08E-10
Cd1d1,-0.912407152,0.038011724
Dclk2,-0.398309704,0.313056732
Fmo5,1.113665162,0.000583704
Tlcd4,-0.472795278,0.720354371
Adh5,0.144697981,0.801777127
Rap1gds1,-0.609633243,0.009467822
Tspan5,-0.755962128,0.017965569
Eif4e,-1.187110836,0.001172535
Ppp3ca,-0.615219908,0.014283502
Manba,0.033016208,0.925393983
Wls,0.645646608,0.008154695
Depdc1a,-0.705103726,0.349735144
Lrrc7,1.882059446,0.045213128
Ccn1,4.572429342,0.012697694
Cryz,0.017369248,0.982790885
Trp53inp1,4.220723885,5.35E-29
Ccne2,-1.185818057,0.006171164
Cdh17,-0.522739887,0.353024682
Cibar1,-0.716327725,0.125624179
Pip4p2,-0.531975449,0.186885501
Calb1,2.098750676,0.042340007
Decr1,-0.605434234,0.064306949
Cpne3,-0.542138477,0.056075797
Atp6v0d2,1.036071929,0.457741197
Sdcbp,-0.332412192,0.426031747
Tstd3,-0.000906804,0.99826477
Ccnc,-0.470371324,0.345337763
Ndufaf4,-1.68878424,0.000142562
Gbp2,-0.873272126,0.071225533
Aldob,0.59990919,0.808508153
Polr1e,-0.768710003,0.01644093
Exosc3,-0.804413063,0.008394303
Tmod1,-0.175645457,0.936344659
Ncbp1,-0.777544258,0.006915958
Hemgn,-0.980975263,0.322133002
Nr4a3,1.811952768,0.011463089
Tmeff1,-0.277322764,0.848200891
Zfp618,1.243345997,0.254334447
Tnfsf8,3.680837571,3.87E-14
Tnc,3.093766501,0.117362121
Astn2,1.717866518,0.061302467
Ugcg,-1.195430811,9.67E-22
Ptbp3,-0.402506677,0.218217556
Snx30,0.009850242,0.982705477
Slc46a2,0.879505642,0.634813814
Pole3,-0.550054997,0.068652559
Mpdz,0.763823631,0.660762851
Smu1,-0.709864993,0.016342499
Dnaja1,-2.352904064,0.00016013
Tmem38b,-2.595004793,0.087021172
Rad23b,-0.987666968,5.08E-05
Nol6,-0.432287664,0.250410403
Elp1,-0.596016023,0.082091086
Epb41l4b,-0.49747713,0.629477021
Dcaf12,-0.315855872,0.54284984
Nudt2,-0.816962704,0.121784822
Cntfr,1.468392071,0.687754845
Enho,2.178882578,0.297358829
Dctn3,-0.569828202,0.205483243
Stoml2,-1.180681506,3.45E-05
Cd72,-0.765195526,0.002988137
Sit1,-0.398662595,0.472981482
Tpm2,1.31010546,0.38301774
Tln1,-0.058335791,0.873447215
Gba2,-0.095016976,0.838431135
Gne,2.358749379,2.00E-25
Glipr2,2.439550921,1.52E-09
Plin2,-0.418454843,0.451997624
Mllt3,-0.224297632,0.530287034
Plpp3,0.482278395,0.261849931
Prkaa2,2.484352173,0.03648317
Slc35d1,1.703023224,5.39E-13
Ak4,-0.411669997,0.845049695
Dnajc6,0.079423652,0.976378849
Jak1,0.175246183,0.444302493
Dph2,-0.86738113,0.073250096
Bend5,-0.886781505,0.004780414
Rnf11,-0.506898307,0.29578663
Osbpl9,-0.002203968,0.993268586
Usp1,-1.206570527,1.52E-05
Btf3l4,-0.613437575,0.14945933
Fggy,1.138139815,0.044784836
Gpx7,-0.122418363,0.937815238
Magoh,-1.069687115,0.001985964
Ndc1,-0.99198606,0.005011293
Tmem59,-0.205106949,0.703234075
Dyrk2,-0.28164767,0.392871819
Ctps,-1.315445583,3.83E-05
Hivep3,-0.177917305,0.860020474
Ybx1,-0.548447775,0.125788106
Svbp,-0.300542411,0.583176313
Ermap,-0.089197986,0.9025817
Macf1,0.259766056,0.42274777
Ppie,-0.49500154,0.353383224
Mycl,-0.367907581,0.711050291
Mfsd2a,-2.07365536,0.001093207
Cap1,-0.395775138,0.199906946
Ppt1,-0.018001014,0.963321184
Epha8,3.753929954,NA
Lypla2,-0.425876908,0.312086972
Gale,-0.773792763,0.115206006
Fuca1,1.724419152,9.16E-12
Pnrc2,-0.497043432,0.150553293
Kif2c,-0.58088927,0.359317414
Eif2b3,-0.550805709,0.029891822
Urod,-0.242632072,0.573790633
Toe1,-0.695321551,0.095253438
Prdx1,-0.903785567,0.03815802
Nasp,-0.823677212,3.69E-06
Tspan1,-0.781829033,0.244630106
Lurap1,-0.919262013,0.001739888
Cyp4b1,1.648264455,0.44948724
Tal1,-2.367345043,0.037530374
Stil,-1.037467929,0.062800294
Cmpk1,-0.587150887,0.022939308
Ebna1bp2,-0.930125307,0.000511559
Aldh4a1,3.909435646,1.29E-28
Mrto4,-0.906201321,0.001919482
Akr7a5,-0.956934763,0.013115419
Slc66a1,-0.901375614,0.000529691
Pink1,0.499592479,0.128969327
Alpl,-1.315821004,0.002696854
Ptpn12,-0.193202684,0.45647099
Tinagl1,1.26463462,0.329744765
Hpca,0.987029353,0.762004667
Ak2,-0.754415001,0.016350643
A3galt2,0.538144883,0.614734332
Ccdc28b,0.135882636,0.80673816
Eif3i,-0.895333691,0.023551188
Nipal3,0.68367689,0.003400107
Tmem50a,0.054288278,0.899601215
Rhd,-1.472222525,0.054713562
Maco1,-0.143625665,0.613461151
Stmn1,-1.503041846,4.39E-05
Slc30a2,1.993454098,0.480634767
Psmb2,-0.843275735,0.007605237
Zfp593,-1.142187992,8.16E-06
Cnksr1,-1.941948945,0.316137781
Tekt2,1.591521469,0.293405898
Nudc,-1.432739547,1.13E-07
Csf3r,0.379516697,0.661225256
Sytl1,1.384590335,0.016137611
Hgf,0.955389673,0.527878943
Fgr,-0.043026936,0.944246852
Smpdl3b,1.78219329,0.206661772
Sesn2,4.559213598,6.81E-51
Rcc1,-1.081678689,0.001221773
Trnau1ap,-0.706949772,0.006658949
Sf3a3,-0.735073613,0.013080339
Epb41,0.281831616,0.722635644
Ptpru,2.703909381,0.256790564
Mecr,-0.207603085,0.663233546
Casp9,-0.451682958,0.120619214
Padi2,0.269054366,0.666229637
Kcnab2,-0.123564998,0.745529263
Acot7,-1.523992391,0.018135787
Espn,2.190904278,0.007094425
Nol9,-0.593361912,0.038167056
Abcf2,-0.722647552,0.036273632
Tmub1,-0.616671983,0.193044538
Park7,-0.605351102,0.140780672
Cdk5,0.163155204,0.762004667
Abcb1b,2.554739678,1.91E-15
Nos3,0.723625833,0.707474452
Masp2,-0.220351324,0.834032012
H6pd,0.428600521,0.098020037
Slc25a33,-1.321300207,0.000451924
Lzic,0.744319483,0.107136154
Fam126a,0.117762374,0.762004667
Fbxo44,0.263254691,0.706793936
Agtrap,-0.150582835,0.624641476
Dnajc2,-0.913370458,1.02E-05
Trp73,2.702572219,0.188602347
Dffb,1.636342458,0.000293451
Wrap73,1.528493238,0.001890773
Tprgl,-0.292378787,0.507407307
Acap3,-0.208982598,0.557395488
Atad3a,-0.726931542,0.009949727
Rer1,-0.782036721,0.074180083
Prkcz,-0.270478687,0.578974078
Plch2,2.0068546,0.016391564
Prxl2b,-0.188722748,0.835678019
Ttll10,2.670824729,0.075232831
Cd38,-0.299298069,0.344410162
Sorcs2,1.664629961,0.010077611
Ablim2,0.48975361,0.732639635
Htra3,2.27276373,0.375894282
Rgs12,3.125233681,3.46E-14
Add1,0.447430465,0.117308385
Crmp1,0.389278557,0.787615064
Rab28,-0.510263433,0.297383195
Plb1,7.446332204,9.27E-23
Fosl2,1.618464573,0.000887553
Krtcap3,0.0113164,0.98593263
Khk,0.631403494,0.097470604
Mapre3,1.128229313,0.225680513
Ppargc1a,0.243485513,0.60588516
Cenpa,0.80889512,0.002497842
Klf3,-0.104959613,0.790057216
Rfc1,-0.604260483,0.000377784
Klb,-0.275909232,0.886503915
Tada2b,-0.72851718,0.003370283
Grpel1,-0.826985876,0.008472972
Rhoh,0.07046582,0.864868281
Chrna9,1.718644116,0.310743697
Gabra4,-0.125351403,0.978339174
Gabrb1,0.211705305,0.840237398
Commd8,-0.131188727,0.77842768
Ppat,-1.710434782,2.60E-12
Paics,-1.279445701,0.000244353
Stap1,-0.479942564,0.020405263
Dipk1a,-0.56478676,0.017438682
Gfi1,-0.62534273,0.287827426
Brdt,2.162786752,0.002601189
Enam,2.652874937,NA
Rufy3,-0.655843252,0.000630053
Gbp9,-0.224702895,0.508266563
Abcg3,0.037359832,0.947754019
Hsd17b11,0.57366535,0.018146596
Klhl8,0.998138236,0.109354881
Plac8,-0.997175088,0.000880075
Enoph1,-1.12940246,0.000121847
Fgf5,1.032729568,0.465763555
Antxr2,0.450443406,0.130043185
Crybb3,1.365362655,0.407054342
Dck,1.002045046,0.000887176
Rassf6,-0.123077289,0.922962434
Ppbp,0.824179931,0.513308154
Pf4,1.192473265,0.392871819
Ccng2,0.108105186,0.784042558
Gtf2h3,-0.598460054,0.113569563
Eif2b1,-0.866842647,0.008805911
Tmed2,-0.943519376,0.00179883
Naaa,-0.398561375,0.10565786
Kntc1,-1.73310699,0.00040338
Sdad1,-0.743705356,0.00591285
Slc15a4,-0.199056014,0.651512064
Scarb2,0.758098316,0.00014354
Stx2,-0.081466802,0.858346529
Ran,-1.408657751,0.000605468
Rhof,-1.296232637,0.001051449
Fam168a,2.345672571,4.93E-18
Fam216a,2.672883676,2.79E-08
P2rx7,2.068031897,1.80E-08
Camkk2,-0.043564753,0.93230446
Aacs,-1.154200212,1.57E-06
Anxa3,0.17943324,0.866346161
Pxmp2,0.567384864,0.635358754
Pgam5,-0.875949664,0.027476804
P2rx2,-1.19428939,0.607978961
Pus1,-0.807253071,0.007658447
Ulk1,1.932991395,9.10E-10
Cit,0.190696726,0.753089155
Rab35,-0.367045923,0.248493503
Chek2,1.503775966,0.000576086
Tes,-0.505189464,0.037869436
Snx8,-0.502144669,0.121580268
Oasl2,0.477413036,0.534410377
Lfng,-0.062363329,0.845632029
Tmem106b,-0.107156578,0.759863457
Fscn1,0.023173256,0.984939025
Ung,-1.245663136,9.59E-05
Rbm19,-0.217290707,0.522496166
Dtx1,-0.621750965,0.063083265
Aimp2,-1.186909807,1.80E-05
Erp29,-0.425438568,0.261721023
Arpc1b,-0.622050788,0.046221015
Ndufa4,-0.80885173,0.115584407
Gm5578,1.301397604,0.603933068
Glcci1,-0.02082444,0.959055291
Slc46a3,-0.543785977,0.036708163
Hsph1,-2.373094802,8.32E-05
Col1a2,1.251292451,0.225680513
Wnt16,0.693396873,0.651512064
Fam3c,-0.551219019,0.01319594
Ssc4d,1.14258073,0.11264638
Gnb2,0.012075032,0.977275886
Agfg2,-0.853049057,0.006603561
Cyp3a13,0.742601814,0.67050851
Asns,-2.656584755,0.00643239
Dlx6,1.570529052,0.073231488
Pon3,0.14437408,0.886485764
Akr1b8,0.92905439,0.630783705
Exoc4,3.243252773,9.59E-29
Ccdc136,2.759844707,0.288817629
Irf5,-0.785285668,0.0088819
Klhdc10,-0.494097652,0.148740271
Gars,-0.684505838,0.073196394
Nt5c3,-0.529432327,0.172034224
Fkbp9,0.464803596,0.656497055
Sspo,0.569200201,0.645901731
Herc6,0.204771449,0.560105228
Tmem176b,0.271591462,0.793029383
Igf2bp3,-0.080236282,0.866346161
Nfe2l3,-0.553709939,0.200780286
Cbx3,-1.188998068,1.32E-05
Ptn,1.251815512,0.536216553
Mtpn,-0.621232602,0.126911557
Hoxa1,1.696482737,0.338445802
Stra8,2.990153553,0.008989264
Zyx,0.707940094,0.006017572
Casp2,-0.320220281,0.475021009
Gstk1,-0.343629597,0.635354109
Kel,-2.395822093,0.179088126
Ephb6,2.036918184,0.01893954
Ccdc184,3.106981546,NA
Clec5a,-0.61782099,0.729881746
Mkrn1,0.591000135,0.384984005
Rab19,-0.010697735,0.985193689
Tbxas1,0.199239925,0.724880141
Pcyox1,-0.263458289,0.480634767
Add2,-2.136486111,0.205221642
Cct7,-1.175907373,0.005403621
Pradc1,-1.02595698,0.01193904
Fbxl14,-0.656437203,0.097351274
Kbtbd8,-0.949916273,0.022939308
Wdr54,1.830499443,0.347627209
Wbp1,-0.054683205,0.918131669
Mogs,-1.336363643,0.000773707
Mrpl53,-0.854653287,0.051160296
Pole4,-0.815084369,0.165697403
Mrpl19,-0.739004898,0.005380181
Arhgap25,-0.108670602,0.682719245
Hmces,-0.393850064,0.368087332
Rpn1,-1.242040584,0.000711238
Frmd4b,0.079758328,0.881153738
Foxp1,0.245946216,0.366950526
Gm20696,0.371352827,0.502264639
Ruvbl1,-1.265828978,8.51E-05
Abtb1,1.177389979,3.96E-05
Plxna1,3.54423166,4.53E-21
Klf15,0.563530101,0.547192331
Aldh1l1,0.277875008,0.841208116
Slc41a3,0.886444654,0.225354006
Ret,1.554338806,0.222340616
Klrg1,-0.249199012,0.86740045
Ptms,0.614205837,0.199224376
Lag3,1.216507068,0.109593172
Lrrc23,1.346523763,0.46200454
Cops7a,-0.692313261,0.053206916
Clec4d,0.473721148,0.760182981
Clec4b1,0.027297329,0.982157723
Klrk1,0.444473785,0.607726476
Clec2d,-0.448026239,0.177640062
Clec1b,0.607713177,0.452507877
Gabarapl1,-0.084594168,0.915662533
Klrd1,0.803422155,0.316333888
Klrc1,0.416498206,0.686208615
Adipor2,-0.747421178,0.053274323
Klra13-ps,0.729123337,0.512978925
Klra2,0.125829319,0.900797959
Magohb,-1.081900052,0.011599234
Ybx3,-1.112744563,0.000629938
Bcl2l14,0.348593866,0.757297679
Plbd1,-0.32671827,0.412733028
Art4,0.068608375,0.951236703
Arhgdib,0.258534652,0.478232387
Strap,-0.742324691,0.006913099
Pik3c2g,4.146340195,NA
Ldhb,4.09526095,2.78E-05
Kcnj8,0.366111654,0.862911339
Sspn,3.392472188,2.50E-13
Bhlhe41,3.431976409,2.07E-22
Srgap3,0.011029115,0.990590289
Lrmp,-0.148376091,0.769913985
Bcat1,-1.22871875,0.018792024
Etnk1,0.118691403,0.805670204
C2cd5,0.135229644,0.72910818
Il17rc,1.056031831,0.262195949
Cmas,-0.093667506,0.804612688
Sec13,-0.712043901,0.093618137
Dennd5b,-0.102782438,0.775460725
Vgll4,0.467893136,0.121784822
Timp4,0.867124281,0.420885718
Mbd4,0.010917581,0.980057555
Klrb1c,0.502441869,0.623843138
Cd27,0.392677434,0.426249388
Vamp1,0.21576664,0.594402577
Ltbr,0.468013942,0.578276019
Tnfrsf1a,0.337181123,0.56273853
